Date,Description,(GBP) Amount,Category,Transaction Type,Bank,Category 1
18/04/2023,TESCO STORES 6042,-3.9,Grocery Shopping,Outgoing,Metro,Groceries
18/04/2023,TFL TRAVEL CH,-4.55,Transportation,Outgoing,Metro,Transport
18/04/2023,TFL TRAVEL CH,-5.45,Transportation,Outgoing,Metro,Transport
19/04/2023,SIMPLY LOCAL,-1.59,Local transaction,Outgoing,Metro,Beauty and Personal Care
19/04/2023,GOOGLE Google Storage,-2.49,Online Services,Outgoing,Metro,Technology/Cloud Storage
19/04/2023,Studioway Food Wine,-3.05,Food and Beverage,Outgoing,Metro,Groceries
19/04/2023,WAITROSE 753,-4.89,Grocery Shopping,Outgoing,Metro,Groceries
19/04/2023,TFL TRAVEL CH,-8.75,Transportation,Outgoing,Metro,Transport
20/04/2023,SAINSBURYS S MKTS,-1,Grocery Shopping,Outgoing,Metro,Groceries
20/04/2023,TFL TRAVEL CH,-3.5,Transportation,Outgoing,Metro,Transport
20/04/2023,TESCO STORES 6042,-3.9,Grocery Shopping,Outgoing,Metro,Groceries
20/04/2023,ALDI Stores,-6.17,Grocery Shopping,Outgoing,Metro,Groceries
21/04/2023,Studioway Food Wine,-2.75,Food and Beverage,Outgoing,Metro,Groceries
21/04/2023,PPOINT STUDIO WAY FOO,-4.49,Online Shopping,Outgoing,Metro,Unknown
21/04/2023,TESCO STORES 2126,-6,Grocery Shopping,Outgoing,Metro,Groceries
21/04/2023,TESCO STORES 2126,-14.7,Grocery Shopping,Outgoing,Metro,Groceries
24/04/2023,Studioway Food Wine,-1.49,Food and Beverage,Outgoing,Metro,Groceries
24/04/2023,POUNDLAND LTD 1568,0,Retail,Outgoing,Metro,Groceries
24/04/2023,GOLDEN PLAICE,-2.5,Restaurant,Outgoing,Metro,Restaurant
25/04/2023,SAINSBURYS S MKTS,0,Grocery Shopping,Outgoing,Metro,Groceries
25/04/2023,WAITROSE 753,-4.89,Grocery Shopping,Outgoing,Metro,Groceries
25/04/2023,DENIZ BEST KEBAB,-6,Food and Dining,Outgoing,Metro,Restaurant
25/04/2023,BOOTS 951,-6,Category: Retail purchase,Outgoing,Metro,Pharmacy
25/04/2023,TFL TRAVEL CH,-8.75,Transportation,Outgoing,Metro,Transport
28/04/2023,inward Payment Isaac Cambridge,100,Category: Incoming Payment,Income,Metro,Unknown
01/03/2023,GOOGLE YouTubePremium,-11.99,Subscription,Outgoing,Metro,Subscription Services
02/03/2023,DEGOO CLOUD STORAGE 50108983992,-1.89,Online subscription,Outgoing,Metro,Technology/Cloud Storage
02/03/2023,Inward Payment Isaac Cambridge,50,Inward Payment,Income,Metro,Transfer from Isaac
03/03/2023,Card Purchase 28 FEB 2023,-3.4,Category: Retail Shopping,Outgoing,Metro,Unknown
03/03/2023,Zetile Wapping Sourdo,-4,Food and Beverage,Outgoing,Metro,Unknown
03/03/2023,TFL TRAVEL CH,-6,Transportation,Outgoing,Metro,Transport
06/03/2023,PRET A MANGER,-2.99,Food and Beverage,Outgoing,Metro,Food and Dining
06/03/2023,SHELL ELSTREE 605,-3.14,Gasoline purchase,Outgoing,Metro,Groceries
06/03/2023,WAITROSE 753,-6.6,Grocery Shopping,Outgoing,Metro,Groceries
06/03/2023,Inward Payment Isaac Cambridge,100,Inward Payment,Income,Metro,Transfer from Isaac
07/03/2023,Card Purchase 05 MAR 2023,-1,Category: Retail Shopping,Outgoing,Metro,Unknown
07/03/2023,ALDI Stores,-1.89,Grocery Shopping,Outgoing,Metro,Groceries
07/03/2023,Aksu Supermarket,-1.99,Retail,Outgoing,Metro,Groceries
07/03/2023,SumUp_ Nac for nac,-3,Payment Transaction,Outgoing,Metro,Unknown
07/03/2023,Greens international f,-3.18,Foreign transaction,Outgoing,Metro,Groceries
07/03/2023,TFL TRAVEL CH,-3.4,Transportation,Outgoing,Metro,Transport
07/03/2023,TFL TRAVEL CH,-3.4,Transportation,Outgoing,Metro,Transport
07/03/2023,Patrean Membership,-6,Subscription,Outgoing,Metro,Subscription Services
07/03/2023,WAITROSE 753,-9.45,Grocery Shopping,Outgoing,Metro,Groceries
08/03/2023,TFL TRAVEL CH,-3.5,Transportation,Outgoing,Metro,Transport
08/03/2023,SAINSBURYS S MKTS,-5.9,Grocery Shopping,Outgoing,Metro,Groceries
09/03/2023,POUNDLAND LTD 1568,-1.5,Retail,Outgoing,Metro,Groceries
09/03/2023,Zettle 83 WENZELS THE,-3,Retail,Outgoing,Metro,Food and Dining
09/03/2023,TFL TRAVEL CH,-6.85,Transportation,Outgoing,Metro,Transport
09/03/2023,VODAFONE LTD,-29.79,Telecommunications,Outgoing,Metro,Telecommunications
09/03/2023,AGE UK,-35.98,Charitable donation,Outgoing,Metro,Charity
10/03/2023,BACS Payment Received CIS SECURITY LTD,1569.08,Payment Received,Income,Metro,Work
10/03/2023,Outward Faster Payment Maxine cambridge,-885,Outward Faster Payment,Outgoing,Metro,Transfer
10/03/2023,WAITROSE 753,-5.75,Grocery Shopping,Outgoing,Metro,Groceries
10/03/2023,TFL TRAVEL CH,-8.75,Transportation,Outgoing,Metro,Transport
