Table 1.2 - Count Of Births Of New Enterprises For 2016 To 2021 Standard Industrial Classification (SIC2007) Group,,,,,,
This worksheet contains one table,,,,,,
Units: Counts (control rounded to base 5),,,,,,
Sector,2016,2017,2018,2019,2020,2021
    551 : Hotels and similar accommodation,785,865,845,835,680,750
    552 : Holiday and other short-stay accommodation,520,635,695,630,660,"1,105"
"    553 : Camping grounds, recreational vehicle parks and trailer parks",140,165,150,175,145,320
    559 : Other accommodation,120,150,165,220,210,165
56 : Food and beverage service activities,"23,870","25,105","25,850","26,930","23,490","28,625"
    561 : Restaurants and mobile food service activities,"17,155","18,200","18,530","18,105","15,785","18,845"
    562 : Event catering and other food service activities,"2,135","2,125","2,590","4,030","4,090","6,440"
    563 : Beverage serving activities,"4,580","4,780","4,730","4,795","3,615","3,340"
58 : Publishing activities,"1,505","1,455","1,415","1,480","1,540","1,555"
"    581 : Publishing of books, periodicals and other publishing activities","1,065","1,035",990,955,920,950
    582 : Software publishing,440,420,425,525,620,605
"59 : Motion picture, video and television programme production, sound recording and music publishing activities","3,890","3,660","3,665","3,825","3,680","4,205"
"    591 : Motion picture, video and television programme activities","3,480","3,235","3,210","3,290","3,020","3,595"
    592 : Sound recording and music publishing activities,410,425,455,535,660,610
60 : Programming and broadcasting activities,180,190,215,180,240,265
    601 : Radio broadcasting,75,50,60,65,90,110
    602 : Television programming and broadcasting activities,105,140,155,115,150,155
61 : Telecommunications,"1,130","1,110","1,090","1,090",945,930
    611 : Wired telecommunications activities,355,295,280,300,235,230
    612 : Wireless telecommunications activities,295,265,235,250,220,190
    613 : Satellite telecommunications activities,15,15,15,20,20,30
    619 : Other telecommunications activities,465,535,560,520,470,480
"62 : Computer programming, consultancy and related activities","24,885","22,125","22,885","21,730","14,505","13,950"
"    620 : Computer programming, consultancy and related activities","24,885","22,125","22,885","21,730","14,505","13,950"
63 : Information service activities,"1,035","1,460","1,630","1,775","1,545","1,445"
"    631 : Data processing, hosting and related activities; web portals",640,715,720,725,780,790
    639 : Other information service activities,395,745,910,"1,050",765,655
"64 (Excl 642) : Financial service activities, except insurance and pension funding","1,245","1,370","1,525","1,865","1,735","1,260"
    641 : Monetary intermediation,45,30,40,5,5,15
"    643 : Trusts, funds and similar financial entities",115,140,140,155,150,145
"    649 : Other financial service activities, except insurance and pension funding","1,085","1,200","1,345","1,705","1,580","1,100"
"65 : Insurance, reinsurance and pension funding, except compulsory social security",280,255,245,250,230,190
    651 : Insurance,85,130,125,155,130,95
    652 : Reinsurance,0,0,0,0,0,0
    653 : Pension funding,195,125,120,95,100,95
66 : Activities auxiliary to financial services and insurance activities,"3,110","2,865","2,720","1,805","1,330","1,875"
"    661 : Activities auxiliary to financial services, except insurance and pension funding","2,295","1,985","1,880",995,685,"1,240"
    662 : Activities auxiliary to insurance and pension funding,635,660,630,595,485,410
    663 : Fund management activities,180,220,210,215,160,225
68 : Real estate activities,"10,205","10,735","10,335","10,465","10,245","12,355"
    681 : Buying and selling of own real estate,630,915,"1,210","1,725","1,960","1,820"
    682 : Renting and operating of own or leased real estate,"4,840","5,340","4,850","5,430","4,845","5,120"
