Date,Description, (GBP) Amount ,Transaction Type,Bank,Category 1,
17/03/2023,NISA LOCAL ELSTREE STA, -£1.49 ,Outgoing,Metro,Groceries,
17/03/2023,TESCO STORES 5781, -£3.90 ,Outgoing,Metro,Groceries,
17/03/2023,TFL TRAVEL CH, -£5.25 ,Outgoing,Metro,Transport,
17/03/2023,TFL TRAVEL CH, -£10.05 ,Outgoing,Metro,Transport,
17/03/2023,Inward Payment Access UK Ltd," 50,00 ",Income,Metro,Transfer,
20/03/2023,BOOTS 951, -£5.49 ,Outgoing,Metro,Pharmacy,
20/03/2023,WAITROSE 753, -£6.70 ,Outgoing,Metro,Groceries,
20/03/2023,Card Purchase 16 MAR 2023, -£7.00 ,Outgoing,Metro,Unknown,
20/03/2023,TFL TRAVEL CH, -£8.75 ,Outgoing,Metro,Transport,
21/03/2023,TFL TRAVEL CH, £0.00 ,Outgoing,Metro,Transport,
21/03/2023,GOOGLE Google Storage, -£2.49 ,Outgoing,Metro,Technology/Cloud Storage,
21/03/2023,ALDI Stores, -£2.64 ,Outgoing,Metro,Groceries,
21/03/2023,PRET A MANGER, -£2.99 ,Outgoing,Metro,Food and Dining,
21/03/2023,SAINSBURYS S MKTS, -£3.80 ,Outgoing,Metro,Groceries,
21/03/2023,TFL TRAVEL CH, -£5.25 ,Outgoing,Metro,Transport,
21/03/2023,TFLTRAVELCH ~, -£3.70 ,Outgoing,Metro,Transport,
23/03/2023,WAITROSE 753, -£0.60 ,Outgoing,Metro,Groceries,
23/03/2023,BOOTS 951, -£4.99 ,Outgoing,Metro,Pharmacy,
23/03/2023,TFL TRAVEL CH, -£5.25 ,Outgoing,Metro,Transport,
23/03/2023,WAITROSE 753, -£12.30 ,Outgoing,Metro,Groceries,
24/03/2023,PRET A MANGER, -£2.99 ,Outgoing,Metro,Food and Dining,
24/03/2023,TFL TRAVEL CH, -£8.75 ,Outgoing,Metro,Transport,
24/03/2023,Inward Payment Access UK Ltd, £89.00 ,Income,Metro,Transfer,
27/03/2023,TFL TRAVEL CH, -£8.75 ,Outgoing,Metro,Transport,
28/03/2023,SAINSBURYS S MKTS, £0.00 ,Outgoing,Metro,Groceries,
28/03/2023,TFL TRAVEL CH, -£3.50 ,Outgoing,Metro,Transport,
28/03/2023,WAITROSE 753, -£3.68 ,Outgoing,Metro,Groceries,
28/03/2023,ALDI Stores, -£3.97 ,Outgoing,Metro,Groceries,
28/03/2023,TFL TRAVEL CH, -£5.45 ,Outgoing,Metro,Transport,
28/03/2023,TFL TRAVEL CH, -£11.15 ,Outgoing,Metro,Transport,
28/03/2023,TFL UNPAID FARE, -£11.25 ,Outgoing,Metro,Transport,
29/03/2023,GOOGLE YouTubePremium, -£11.99 ,Outgoing,Metro,Subscription Services,
30/03/2023,DEGOO CLOUD STORAGE 50108983992, -£1.89 ,Outgoing,Metro,Technology/Cloud Storage,
30/03/2023,TFL TRAVEL CH, -£5.25 ,Outgoing,Metro,Transport,
30/03/2023,TFL TRAVEL CH, -£14.65 ,Outgoing,Metro,Transport,
31/03/2023,Card Purchase 29 MAR 2023, -£14.90 ,Outgoing,Metro,Unknown,
01/02/2023,PPOINT STUDIO WAY FOO, -£4.57 ,Outgoing,Metro,Unknown,
01/02/2023,WAITROSE 753, -£9.00 ,Outgoing,Metro,Groceries,
01/02/2023,TFL TRAVEL CH, -£12.20 ,Outgoing,Metro,Transport,
02/02/2023,PRET A MANGER, -£2.99 ,Outgoing,Metro,Food and Dining,
02/02/2023,PRET A MANGER, -£3.45 ,Outgoing,Metro,Food and Dining,
03/02/2023,Card Purchase 01 FEB 2023, -£5.05 ,Outgoing,Metro,Unknown,
03/02/2023,Card Purchase 01 FEB 2023, -£5.70 ,Outgoing,Metro,Unknown,
03/02/2023,Patreon Membership, -£6.00 ,Outgoing,Metro,Subscription Services,
06/02/2023,ALDI, -£1.89 ,Outgoing,Metro,Groceries,
06/02/2023,PPOINT STUDIO WAY FOO, -£3.68 ,Outgoing,Metro,Unknown,
06/02/2023,TFL TRAVEL CH, -£8.35 ,Outgoing,Metro,Transport,
07/02/2023,TFL TRAVEL CH, -£6.65 ,Outgoing,Metro,Transport,
07/02/2023,TFL TRAVEL CH, -£16.10 ,Outgoing,Metro,Transport,
10/02/2023,BACS Payment Received CIS SECURITY LTD," £1,712.89 ",Income,Metro,Work,
10/02/2023,Inward Payment Access UK, £198.00 ,Income,Metro,Banking/Financial Services,
10/02/2023,Outward Faster Payment Maxine cambridge," -£1,025.00 ",Outgoing,Metro,Transfer,
10/02/2023,Outward Faster Payment Maxine cambridge, -£600.00 ,Outgoing,Metro,Transfer,
10/02/2023,Inward Payment Isaac Cambridge, £100.00 ,Income,Metro,Transfer from Isaac,
13/02/2023,ATM Cash Withdrawal 13/02/23 14:56:17, -£10.00 ,Outgoing,Metro,Cash Withdrawal,
13/02/2023,Inward Payment Access UK, £199.00 ,Income,Metro,Banking/Financial Services,
14/02/2023,Card Purchase 12 FEB 2023, -£1.50 ,Outgoing,Metro,Unknown,
14/02/2023,TFL TRAVEL CH, -£1.65 ,Outgoing,Metro,Transport,
14/02/2023,ALDI, -£3.38 ,Outgoing,Metro,Groceries,
14/02/2023,TFL TRAVEL CH, -£4.95 ,Outgoing,Metro,Transport,
14/02/2023,AGE UK, -£4.99 ,Outgoing,Metro,Charity,
14/02/2023,SCOTTS, -£5.50 ,Outgoing,Metro,Unknown,
14/02/2023,CANCER RESEARCH UK, -£6.00 ,Outgoing,Metro,Charity,
14/02/2023,PPOINT STUDIO WAY FOO, -£6.07 ,Outgoing,Metro,Unknown,
14/02/2023,CANCER RESEARCH UK, -£7.49 ,Outgoing,Metro,Charity,
14/02/2023,Wimpy, -£8.50 ,Outgoing,Metro,Restaurant,
14/02/2023,Card Purchase 12 FEB 2023, -£15.00 ,Outgoing,Metro,Unknown,
14/02/2023,SHELL ENERGY, -£21.41 ,Outgoing,Metro,Utilities,
14/02/2023,PEACE HOSPICE CARE, -£25.00 ,Outgoing,Metro,Healthcare,
14/02/2023,Studioway Food, -£63.99 ,Outgoing,Metro,Food and Dining,
14/02/2023,Fresh Start, -£131.00 ,Outgoing,Metro,Unknown,
14/02/2023,Outward Faster Payment Maxine cambridge, -£110.00 ,Outgoing,Metro,Transfer,
15/02/2023,TFL TRAVEL CH, -£3.30 ,Outgoing,Metro,Transport,
15/02/2023,Card Purchase 13 FEB 2023, -£8.00 ,Outgoing,Metro,Unknown,
15/02/2023,VILLAGE FOOD CENTRE, -£9.76 ,Outgoing,Metro,Food and Dining,
15/02/2023,AMZNMkiplace 50183204652, -£10.09 ,Outgoing,Metro,Online Shopping,
15/02/2023,Card Purchase 13 FEB 2023, -£25.00 ,Outgoing,Metro,Unknown,
15/02/2023,TESCO STORES 2126, -£40.08 ,Outgoing,Metro,Groceries,
16/02/2023,SCOTTS, -£5.00 ,Outgoing,Metro,Unknown,
16/02/2023,Card Purchase 14 FEB 2023, -£6.20 ,Outgoing,Metro,Unknown,
16/02/2023,WAITROSE 753, -£9.14 ,Outgoing,Metro,Groceries,
16/02/2023,TFL TRAVEL CH, -£10.90 ,Outgoing,Metro,Transport,
16/02/2023,Wimpy, -£4.15 ,Outgoing,Metro,Restaurant,
17/02/2023,TFL TRAVEL CH, -£10.90 ,Outgoing,Metro,Transport,
21/02/2023,GOOGLE Google Storage, -£2.49 ,Outgoing,Metro,Technology/Cloud Storage,
23/02/2023,Cash Deposit, £17.00 ,Income,Metro,Banking/Financial Services,
23/02/2023,Outward Faster Payment Maxine cambridge, -£5.00 ,Outgoing,Metro,Transfer,
27/02/2023,Cash Deposit, £20.00 ,Income,Metro,Banking/Financial Services,
